femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id
DR-1306-FL,1306,FL,DR,1999-10-20T17:30:00.000Z,2000,Hurricane,FL-HURRICANE IRENE-DR-REQ,0,0,1,0,1999-10-14T15:00:00.000Z,1999-10-24T04:00:00.000Z,,12,35,99035,Flagler (County),99139,5c7217b5453c14bac593eb61de48734f,2019-07-26T18:49:45.336Z,5d1bcebbd5b39c032f263f96
DR-1344-FL,1344,FL,DR,2000-10-03T17:00:00.000Z,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,2000-09-21T04:00:00.000Z,2000-10-04T04:00:00.000Z,,12,37,99037,Franklin (County),157,60b2c14b263c2a53bec00cf5cde7003e,2019-07-26T18:49:45.862Z,5d1bcebcd5b39c032f2642d1
DR-1393-FL,1393,FL,DR,2001-09-28T15:30:00.000Z,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,2001-09-13T04:00:00.000Z,2001-09-21T04:00:00.000Z,,12,81,99081,Manatee (County),1094,9f2988ba3884efd6272b58e7e3b5ab4a,2019-07-26T18:49:46.609Z,5d1bcebcd5b39c032f26447c
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,71,99071,Lee (County),1009,a9ffcdc956ae7f63a96108fcf07d94f9,2019-07-26T18:49:46.088Z,5d1bcebcd5b39c032f2643fd
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,93,99093,Okeechobee (County),1009,5a570f88f42cc20bc6d68c9fe15cca71,2019-07-26T18:49:46.149Z,5d1bcebcd5b39c032f2645a8
DR-1259-FL,1259,FL,DR,1998-11-07T00:00:00.000Z,1999,Severe Storm(s),TROPICAL STORM MITCH,0,1,0,0,1998-11-04T08:58:00.000Z,1998-11-05T05:00:00.000Z,,12,99,99099,Palm Beach (County),98086,66748694961d0378e7cfd49c2f745c55,2019-07-26T18:49:44.853Z,5d1bcebbd5b39c032f263e74
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,111,99111,St. Lucie (County),98051,59d99750a58a367198cd544cf965162f,2019-07-26T18:49:44.130Z,5d1bcebad5b39c032f263ac7
DR-1300-FL,1300,FL,DR,1999-09-22T20:45:00.000Z,1999,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,0,0,1,1,1999-09-13T04:00:00.000Z,1999-09-25T04:00:00.000Z,,12,61,99061,Indian River (County),99099,be9f21278b35e9da7fda0041b3b54581,2019-07-26T18:49:45.276Z,5d1bcebbd5b39c032f264004
DR-1241-FL,1241,FL,DR,1998-09-04T04:00:00.000Z,1998,Hurricane,HURRICANE EARL,0,1,0,1,1998-09-04T00:47:00.000Z,1998-09-03T04:00:00.000Z,,12,129,99129,Wakulla (County),98071,2e7baf92e05596abbe6abf181811c2cf,2019-07-26T18:49:44.586Z,5d1bcebad5b39c032f263d2d
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,1,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,119,99119,Sumter (County),98051,73f52a8bc0255210afe6f36e3921e367,2019-07-26T18:49:44.131Z,5d1bcebad5b39c032f263ae7
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,1,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,123,99123,Taylor (County),98051,6c0d3755cfb50aa14285d9f8d72df724,2019-07-26T18:49:44.131Z,5d1bcebad5b39c032f263aea
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,105,99105,Polk (County),98051,98543d3fc6ead0b9270e6bb05af58772,2019-07-26T18:49:44.126Z,5d1bcebad5b39c032f263b21
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,61,99061,Indian River (County),98051,dc5f09072bc36dbdc7a0bb784d82f514,2019-07-26T18:49:44.125Z,5d1bcebad5b39c032f263aaf
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,1,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,67,99067,Lafayette (County),98051,d508fd5e4c555be376cf95079d8ab7e6,2019-07-26T18:49:44.122Z,5d1bcebad5b39c032f263b13
DR-1381-FL,1381,FL,DR,2001-06-17T04:00:00.000Z,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,1,1,1,2001-06-11T09:30:00.000Z,2001-06-15T04:00:00.000Z,,12,77,99077,Liberty (County),1067,9b11a515d05d9d20241f6f6bc6ce3fe6,2019-07-26T18:49:46.468Z,5d1bcebdd5b39c032f264a60
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,7,99007,Bradford (County),1009,8628587ae9ed10caf9ba85546f88b216,2019-07-26T18:49:46.030Z,5d1bcebcd5b39c032f2644b1
DR-1300-FL,1300,FL,DR,1999-09-22T20:45:00.000Z,1999,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,0,0,1,1,1999-09-13T04:00:00.000Z,1999-09-25T04:00:00.000Z,,12,55,99055,Highlands (County),99099,2fa4c4ac30ca3f04f0c2128f425919c3,2019-07-26T18:49:45.276Z,5d1bcebbd5b39c032f263fef
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,95,99095,Orange (County),1009,0c40ec5e0cd905cd81a4a51282b18889,2019-07-26T18:49:46.090Z,5d1bcebcd5b39c032f264488
DR-1300-FL,1300,FL,DR,1999-09-22T20:45:00.000Z,1999,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,0,0,1,1,1999-09-13T04:00:00.000Z,1999-09-25T04:00:00.000Z,,12,111,99111,St. Lucie (County),99099,9213e3d14a299323cf4d4287b3e2b2d9,2019-07-26T18:49:45.276Z,5d1bcebcd5b39c032f2641da
DR-1344-FL,1344,FL,DR,2000-10-03T17:00:00.000Z,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,2000-09-21T04:00:00.000Z,2000-10-04T04:00:00.000Z,,12,91,99091,Okaloosa (County),157,9393367f1275b10a7fed4f2324ba47f7,2019-07-26T18:49:45.863Z,5d1bcebcd5b39c032f264550
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,105,99105,Polk (County),1009,456c01413ce1ac416f1689ffba42a6bb,2019-07-26T18:49:46.090Z,5d1bcebcd5b39c032f264408
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,113,99113,Santa Rosa (County),98051,3ada967383bb53f13b35be254d7cd643,2019-07-26T18:49:44.132Z,5d1bcebad5b39c032f263af5
DR-1300-FL,1300,FL,DR,1999-09-22T20:45:00.000Z,1999,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,0,0,1,1,1999-09-13T04:00:00.000Z,1999-09-25T04:00:00.000Z,,12,85,99085,Martin (County),99099,6336c877acca44df012f1424e7e71de3,2019-07-26T18:49:45.282Z,5d1bcebbd5b39c032f2640ad
DR-1300-FL,1300,FL,DR,1999-09-22T20:45:00.000Z,1999,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,0,0,1,1,1999-09-13T04:00:00.000Z,1999-09-25T04:00:00.000Z,,12,43,99043,Glades (County),99099,b3b8e32ca3b4837cfd2f85c05a405abc,2019-07-26T18:49:45.275Z,5d1bcebbd5b39c032f263fe9
DR-1306-FL,1306,FL,DR,1999-10-20T17:30:00.000Z,2000,Hurricane,FL-HURRICANE IRENE-DR-REQ,0,1,0,1,1999-10-14T15:00:00.000Z,1999-10-24T04:00:00.000Z,,12,97,99097,Osceola (County),99139,36ae56b279246c8f8e6aea3701ccc000,2019-07-26T18:49:45.335Z,5d1bcebbd5b39c032f264012
DR-1249-FL,1249,FL,DR,1998-09-28T21:52:00.000Z,1998,Hurricane,HURRICANE GEORGES,0,1,1,0,1998-09-26T01:47:00.000Z,1998-10-07T04:00:00.000Z,,12,37,99037,Franklin (County),98078,aa9d23cc48b20611004d6af86d182a8f,2019-07-26T18:49:44.698Z,5d1bcebad5b39c032f263dca
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,43,99043,Glades (County),98051,684bad0aa1171975a00e48dbec71b852,2019-07-26T18:49:44.128Z,5d1bcebad5b39c032f263afa
DR-1249-FL,1249,FL,DR,1998-09-28T21:52:00.000Z,1998,Hurricane,HURRICANE GEORGES,0,1,1,0,1998-09-26T01:47:00.000Z,1998-10-07T04:00:00.000Z,,12,133,99133,Washington (County),98078,2919ea7e2123fa99d5e355b6ff92c512,2019-07-26T18:49:44.698Z,5d1bcebad5b39c032f263d72
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,75,99075,Levy (County),1009,e415b7d8a9b1ce62c7e380ffa2d6bb96,2019-07-26T18:49:46.097Z,5d1bcebcd5b39c032f264343
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,119,99119,Sumter (County),1009,af797b18ab213fbf17942c245d2f9d40,2019-07-26T18:49:46.093Z,5d1bcebcd5b39c032f264155
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,31,99031,Duval (County),1009,5fa002bf78b4420065375418d4e40f42,2019-07-26T18:49:46.029Z,5d1bcebcd5b39c032f2645b1
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,81,99081,Manatee (County),1009,b379fedcb23976454c435bf57f274219,2019-07-26T18:49:46.088Z,5d1bcebcd5b39c032f2644df
DR-1249-FL,1249,FL,DR,1998-09-28T21:52:00.000Z,1998,Hurricane,HURRICANE GEORGES,0,0,1,0,1998-09-26T01:47:00.000Z,1998-10-07T04:00:00.000Z,,12,77,99077,Liberty (County),98078,95f7c3f8b639842da3c5ddb249639561,2019-07-26T18:49:44.707Z,5d1bcebad5b39c032f263dbf
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,127,99127,Volusia (County),1009,6720a31fa0f59ac979489cc8a849e3eb,2019-07-26T18:49:46.097Z,5d1bcebcd5b39c032f26439e
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,125,99125,Union (County),1009,1f4097828ebf19c9d565e7cab8a47830,2019-07-26T18:49:46.092Z,5d1bcebbd5b39c032f263fe1
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,1,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,117,99117,Seminole (County),98051,8f5bd51d4771cbf41fe96f3c7c8f54a1,2019-07-26T18:49:44.122Z,5d1bcebad5b39c032f263b04
DR-1359-FL,1359,FL,DR,2001-02-05T22:32:00.000Z,2001,Freezing,SEVERE FREEZE,0,1,0,0,2000-12-01T05:00:00.000Z,2001-01-25T05:00:00.000Z,,12,115,99115,Sarasota (County),1009,97c400707703bf93c56aae1e87b6cb7d,2019-07-26T18:49:46.149Z,5d1bcebcd5b39c032f26436a
DR-1539-FL,1539,FL,DR,2004-08-13T21:30:00.000Z,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,2004-08-11T13:00:00.000Z,2004-08-30T16:14:00.000Z,,12,73,99073,Leon (County),4085,c01fe970cd36a2e5cee627f86c15c6b5,2019-10-10T19:52:59.225Z,5d1bcebed5b39c032f265249
DR-1344-FL,1344,FL,DR,2000-10-03T17:00:00.000Z,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,2000-09-21T04:00:00.000Z,2000-10-04T04:00:00.000Z,,12,13,99013,Calhoun (County),157,6f5bc42355ade7365acc1c537d6a7bd0,2019-07-26T18:49:45.862Z,5d1bcebbd5b39c032f263fde
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,1,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,127,99127,Volusia (County),98051,e458641e127e92c79e1b7689abd94489,2019-07-26T18:49:44.129Z,5d1bcebad5b39c032f263b14
DR-1306-FL,1306,FL,DR,1999-10-20T17:30:00.000Z,2000,Hurricane,FL-HURRICANE IRENE-DR-REQ,0,1,1,1,1999-10-14T15:00:00.000Z,1999-10-24T04:00:00.000Z,,12,99,99099,Palm Beach (County),99139,e0331348f0a4daa6a9d605262193ac8c,2019-07-26T18:49:45.337Z,5d1bcebbd5b39c032f2640a6
DR-1300-FL,1300,FL,DR,1999-09-22T20:45:00.000Z,1999,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,0,0,1,1,1999-09-13T04:00:00.000Z,1999-09-25T04:00:00.000Z,,12,99,99099,Palm Beach (County),99099,ab969f36e8823c5c9a369f40710ab7a8,2019-07-26T18:49:45.275Z,5d1bcebbd5b39c032f264086
DR-1393-FL,1393,FL,DR,2001-09-28T15:30:00.000Z,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,0,2001-09-13T04:00:00.000Z,2001-09-21T04:00:00.000Z,,12,55,99055,Highlands (County),1094,e6e20673557eac57b17e5e331e8d73d7,2019-07-26T18:49:46.608Z,5d1bcebcd5b39c032f2644a6
DR-1393-FL,1393,FL,DR,2001-09-28T15:30:00.000Z,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,0,2001-09-13T04:00:00.000Z,2001-09-21T04:00:00.000Z,,12,21,99021,Collier (County),1094,88bf9a8207ac1e5fe3c3888f33bd2a14,2019-07-26T18:49:46.608Z,5d1bcebcd5b39c032f2645cd
