,disasterNumber,fyDeclared,incidentType,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsCountyCode,declaration_date,incident_begin,incident_end,disasterlength,declarationtime,date,precipitation
60,1539,2004,Hurricane,0,0,1,1,57,12643,12641,12660,19,2,12641.0,39.28965604
61,1539,2004,Hurricane,1,1,1,1,87,12643,12641,12660,19,2,12641.0,121.74162091500001
62,1539,2004,Hurricane,1,1,1,1,35,12643,12641,12660,19,2,12641.0,83.0990769
63,1539,2004,Hurricane,1,1,1,1,81,12643,12641,12660,19,2,12641.0,11.882835303999999
64,1539,2004,Hurricane,0,0,1,1,11,12643,12641,12660,19,2,12641.0,189.82505625000002
65,1539,2004,Hurricane,0,0,1,1,67,12643,12641,12660,19,2,12641.0,427.91082199999994
66,1539,2004,Hurricane,0,0,1,1,125,12643,12641,12660,19,2,12641.0,25.3075885
67,1539,2004,Hurricane,0,0,1,1,111,12643,12641,12660,19,2,12641.0,7.962148730000002
68,1539,2004,Hurricane,0,0,1,1,59,12643,12641,12660,19,2,12641.0,79.5680509
69,1539,2004,Hurricane,0,0,1,1,113,12643,12641,12660,19,2,12641.0,409.7507773
70,1545,2004,Hurricane,0,0,1,1,77,12665,12664,12699,35,1,12664.0,117.2846041
71,1539,2004,Hurricane,1,1,1,1,97,12643,12641,12660,19,2,12641.0,49.06758050799999
72,1539,2004,Hurricane,1,1,1,1,101,12643,12641,12660,19,2,12641.0,22.82529758
73,1545,2004,Hurricane,0,0,1,1,133,12665,12664,12699,35,1,12664.0,2.009847882397
74,1545,2004,Hurricane,0,0,1,1,21,12665,12664,12699,35,1,12664.0,100.06020189000002
75,1539,2004,Hurricane,1,1,1,1,117,12643,12641,12660,19,2,12641.0,7.174662100000001
76,1539,2004,Hurricane,1,1,1,1,95,12643,12641,12660,19,2,12641.0,72.15034809000002
77,1539,2004,Hurricane,0,0,1,1,129,12643,12641,12660,19,2,12641.0,226.71505299999998
78,1539,2004,Hurricane,0,0,1,1,123,12643,12641,12660,19,2,12641.0,675.0675060000002
79,1539,2004,Hurricane,1,1,1,1,9,12643,12641,12660,19,2,12641.0,131.441895642
80,1539,2004,Hurricane,0,0,1,1,73,12643,12641,12660,19,2,12641.0,220.8737627
81,1539,2004,Hurricane,1,1,1,1,15,12643,12641,12660,19,2,12641.0,45.010907173999996
82,1539,2004,Hurricane,1,1,1,1,109,12643,12641,12660,19,2,12641.0,48.45932730000001
83,1539,2004,Hurricane,0,0,1,1,99,12643,12641,12660,19,2,12641.0,1374.6247150299998
84,1539,2004,Hurricane,1,1,1,1,29,12643,12641,12660,19,2,12641.0,95.7642223
85,1539,2004,Hurricane,1,1,1,1,21,12643,12641,12660,19,2,12641.0,697.91106406
86,1539,2004,Hurricane,1,1,1,1,31,12643,12641,12660,19,2,12641.0,89.36424106000001
87,1539,2004,Hurricane,1,1,1,1,27,12643,12641,12660,19,2,12641.0,71.883650793
88,1539,2004,Hurricane,1,1,1,1,43,12643,12641,12660,19,2,12641.0,208.56872366100006
89,1539,2004,Hurricane,1,1,1,1,49,12643,12641,12660,19,2,12641.0,87.56614369999998
90,1539,2004,Hurricane,1,1,1,1,115,12643,12641,12660,19,2,12641.0,2.751237733
91,1539,2004,Hurricane,1,1,1,1,51,12643,12641,12660,19,2,12641.0,589.9649020000002
92,1539,2004,Hurricane,0,0,1,1,23,12643,12641,12660,19,2,12641.0,386.7481692
93,1539,2004,Hurricane,1,1,1,1,61,12643,12641,12660,19,2,12641.0,0.9795308790000001
94,1539,2004,Hurricane,0,0,1,1,63,12643,12641,12660,19,2,12641.0,217.08813159999997
95,1539,2004,Hurricane,1,1,1,1,71,12643,12641,12660,19,2,12641.0,47.83638205
96,1539,2004,Hurricane,0,0,1,1,83,12643,12641,12660,19,2,12641.0,199.01657085399998
97,1539,2004,Hurricane,1,1,1,1,127,12643,12641,12660,19,2,12641.0,185.8449089
98,1539,2004,Hurricane,1,1,1,1,75,12643,12641,12660,19,2,12641.0,68.81533243
99,1539,2004,Hurricane,1,1,1,1,55,12643,12641,12660,19,2,12641.0,138.06399811600002
100,1539,2004,Hurricane,0,0,1,1,107,12643,12641,12660,19,2,12641.0,81.12310980000001
101,1539,2004,Hurricane,0,0,1,1,33,12643,12641,12660,19,2,12641.0,368.89838199999997
102,1539,2004,Hurricane,0,0,1,1,133,12643,12641,12660,19,2,12641.0,513.0147814999999
103,1539,2004,Hurricane,0,0,1,1,86,12643,12641,12660,19,2,12641.0,228.65208909399993
104,1539,2004,Hurricane,0,0,1,1,119,12643,12641,12660,19,2,12641.0,25.451939939999995
105,1539,2004,Hurricane,0,0,1,1,89,12643,12641,12660,19,2,12641.0,188.57229230000004
106,1539,2004,Hurricane,0,0,1,1,53,12643,12641,12660,19,2,12641.0,7.182150817000001
107,1539,2004,Hurricane,0,0,1,1,37,12643,12641,12660,19,2,12641.0,431.52640199999996
108,1539,2004,Hurricane,1,1,1,1,105,12643,12641,12660,19,2,12641.0,338.49961149999996
109,1539,2004,Hurricane,0,0,1,1,77,12643,12641,12660,19,2,12641.0,610.142437
110,1539,2004,Hurricane,0,0,1,1,7,12643,12641,12660,19,2,12641.0,16.267579060000003
111,1539,2004,Hurricane,1,1,1,1,69,12643,12641,12660,19,2,12641.0,386.27179650000005
112,1539,2004,Hurricane,0,0,1,1,3,12643,12641,12660,19,2,12641.0,362.42704690000005
113,1539,2004,Hurricane,0,0,1,1,103,12643,12641,12660,19,2,12641.0,1.5337043169999998
114,1539,2004,Hurricane,0,0,1,1,45,12643,12641,12660,19,2,12641.0,859.534865
115,1545,2004,Hurricane,1,1,1,1,89,12665,12664,12699,35,1,12664.0,38.69632437
116,1545,2004,Hurricane,1,1,1,1,86,12665,12664,12699,35,1,12664.0,130.42527762
117,1545,2004,Hurricane,1,1,1,1,111,12665,12664,12699,35,1,12664.0,16.681066073
118,1545,2004,Hurricane,1,1,1,1,51,12665,12664,12699,35,1,12664.0,16.291041373
119,1545,2004,Hurricane,1,1,1,1,7,12665,12664,12699,35,1,12664.0,27.9856794
120,1545,2004,Hurricane,1,1,1,1,107,12665,12664,12699,35,1,12664.0,17.624934606999997
121,1545,2004,Hurricane,1,1,1,1,75,12665,12664,12699,35,1,12664.0,82.989539645
122,1545,2004,Hurricane,1,1,1,1,17,12665,12664,12699,35,1,12664.0,0.0012983396716838998
123,1545,2004,Hurricane,1,1,1,1,27,12665,12664,12699,35,1,12664.0,0.4687446408091636
124,1545,2004,Hurricane,1,1,1,1,41,12665,12664,12699,35,1,12664.0,0.9111934
125,1545,2004,Hurricane,1,1,1,1,55,12665,12664,12699,35,1,12664.0,1.9959268537357149
126,1545,2004,Hurricane,1,1,1,1,57,12665,12664,12699,35,1,12664.0,1.221576555
127,1545,2004,Hurricane,1,1,1,1,117,12665,12664,12699,35,1,12664.0,0.39484041499999994
128,1545,2004,Hurricane,1,1,1,1,109,12665,12664,12699,35,1,12664.0,18.436639558
129,1545,2004,Hurricane,1,1,1,1,11,12665,12664,12699,35,1,12664.0,59.92828243999998
130,1545,2004,Hurricane,1,1,1,1,61,12665,12664,12699,35,1,12664.0,2.650167907
131,1545,2004,Hurricane,1,1,1,1,53,12665,12664,12699,35,1,12664.0,0.297203198
132,1545,2004,Hurricane,1,1,1,1,103,12665,12664,12699,35,1,12664.0,1.7030486199999997
133,1545,2004,Hurricane,1,1,1,1,9,12665,12664,12699,35,1,12664.0,5.545423322
134,1545,2004,Hurricane,1,1,1,1,95,12665,12664,12699,35,1,12664.0,11.39647471537976
135,1545,2004,Hurricane,1,1,1,1,15,12665,12664,12699,35,1,12664.0,0.60369233
136,1545,2004,Hurricane,1,1,1,1,19,12665,12664,12699,35,1,12664.0,51.468065640000006
137,1545,2004,Hurricane,1,1,1,1,3,12665,12664,12699,35,1,12664.0,50.567429489999995
138,1545,2004,Hurricane,1,1,1,1,31,12665,12664,12699,35,1,12664.0,123.59638510000002
139,1545,2004,Hurricane,0,0,1,1,13,12665,12664,12699,35,1,12664.0,28.047004080000004
140,1545,2004,Hurricane,1,1,1,1,29,12665,12664,12699,35,1,12664.0,1.706487774
141,1545,2004,Hurricane,0,0,1,1,33,12665,12664,12699,35,1,12664.0,85.69497759000001
142,1545,2004,Hurricane,0,0,1,1,39,12665,12664,12699,35,1,12664.0,16.76287475
143,1545,2004,Hurricane,1,1,1,1,43,12665,12664,12699,35,1,12664.0,1.398538992
144,1545,2004,Hurricane,0,0,1,1,91,12665,12664,12699,35,1,12664.0,5.822279459
145,1545,2004,Hurricane,0,0,1,1,37,12665,12664,12699,35,1,12664.0,9.66806771
146,1545,2004,Hurricane,0,0,1,1,65,12665,12664,12699,35,1,12664.0,3.482357029
147,1545,2004,Hurricane,0,0,1,1,59,12665,12664,12699,35,1,12664.0,0.026332092705599996
148,1545,2004,Hurricane,0,0,1,1,63,12665,12664,12699,35,1,12664.0,4.040092094
149,1545,2004,Hurricane,0,0,1,1,67,12665,12664,12699,35,1,12664.0,1.8228297492670298
150,1545,2004,Hurricane,1,1,1,1,1,12665,12664,12699,35,1,12664.0,38.299158739999996
151,1545,2004,Hurricane,0,0,1,1,73,12665,12664,12699,35,1,12664.0,25.844252889999996
152,1545,2004,Hurricane,0,0,1,1,79,12665,12664,12699,35,1,12664.0,0.994385881
153,1545,2004,Hurricane,1,1,1,1,35,12665,12664,12699,35,1,12664.0,19.510264223
154,1545,2004,Hurricane,0,0,1,1,45,12665,12664,12699,35,1,12664.0,24.228282480000004
155,1545,2004,Hurricane,0,0,1,1,113,12665,12664,12699,35,1,12664.0,28.261038548999988
156,1545,2004,Hurricane,0,0,1,1,123,12665,12664,12699,35,1,12664.0,21.81712944
157,1545,2004,Hurricane,0,0,1,1,129,12665,12664,12699,35,1,12664.0,34.599433069999996
158,1545,2004,Hurricane,0,0,1,1,131,12665,12664,12699,35,1,12664.0,4.226116156999999
159,1545,2004,Hurricane,0,0,1,1,87,12665,12664,12699,35,1,12664.0,154.1539918
160,1545,2004,Hurricane,0,0,1,1,47,12665,12664,12699,35,1,12664.0,1.6581431989999997
161,1545,2004,Hurricane,0,0,1,1,5,12665,12664,12699,35,1,12664.0,13.406606930000002
162,1545,2004,Hurricane,1,1,1,1,23,12665,12664,12699,35,1,12664.0,8.390094916
163,1545,2004,Hurricane,1,1,1,1,125,12665,12664,12699,35,1,12664.0,12.6440651
164,1545,2004,Hurricane,1,1,1,1,93,12665,12664,12699,35,1,12664.0,1.334284898582319
165,1545,2004,Hurricane,1,1,1,1,49,12665,12664,12699,35,1,12664.0,2.059497586
166,1545,2004,Hurricane,1,1,1,1,105,12665,12664,12699,35,1,12664.0,6.597837767248022
167,1545,2004,Hurricane,1,1,1,1,85,12665,12664,12699,35,1,12664.0,63.3016924
168,1545,2004,Hurricane,1,1,1,1,121,12665,12664,12699,35,1,12664.0,3.5323357779999993
169,1545,2004,Hurricane,1,1,1,1,127,12665,12664,12699,35,1,12664.0,24.448028281000006
170,1545,2004,Hurricane,1,1,1,1,119,12665,12664,12699,35,1,12664.0,0.05709229347230001
171,1545,2004,Hurricane,1,1,1,1,69,12665,12664,12699,35,1,12664.0,3.546586527
172,1545,2004,Hurricane,1,1,1,1,81,12665,12664,12699,35,1,12664.0,0.810552587
173,1545,2004,Hurricane,1,1,1,1,83,12665,12664,12699,35,1,12664.0,14.665694283355238
174,1545,2004,Hurricane,1,1,1,1,99,12665,12664,12699,35,1,12664.0,239.93214853999996
175,1545,2004,Hurricane,1,1,1,1,115,12665,12664,12699,35,1,12664.0,1.032135638
176,1545,2004,Hurricane,1,1,1,1,97,12665,12664,12699,35,1,12664.0,4.210617566083879
177,1545,2004,Hurricane,1,1,1,1,101,12665,12664,12699,35,1,12664.0,0.25113070139072724
178,1545,2004,Hurricane,1,1,1,1,71,12665,12664,12699,35,1,12664.0,1.232296374638
179,1551,2004,Hurricane,1,1,0,1,9,12677,12674,12739,65,3,12674.0,53.48359645000001
180,1551,2004,Hurricane,0,0,1,1,65,12677,12674,12739,65,3,12674.0,240.33494899999997
181,1551,2004,Hurricane,1,1,0,1,109,12677,12674,12739,65,3,12674.0,172.97211579999998
182,1551,2004,Hurricane,1,1,0,1,93,12677,12674,12739,65,3,12674.0,10.85690371
183,1551,2004,Hurricane,1,1,1,1,37,12677,12674,12739,65,3,12674.0,330.11628800000005
184,1551,2004,Hurricane,1,1,0,1,101,12677,12674,12739,65,3,12674.0,100.34918019999999
185,1551,2004,Hurricane,1,1,1,1,59,12677,12674,12739,65,3,12674.0,43.2181706
186,1551,2004,Hurricane,1,1,0,1,117,12677,12674,12739,65,3,12674.0,28.46772777
187,1551,2004,Hurricane,1,1,1,1,77,12677,12674,12739,65,3,12674.0,506.50557549999996
188,1551,2004,Hurricane,1,1,1,1,133,12677,12674,12739,65,3,12674.0,147.4824464
189,1551,2004,Hurricane,1,1,0,1,99,12677,12674,12739,65,3,12674.0,63.48783077999997
190,1551,2004,Hurricane,1,1,1,1,63,12677,12674,12739,65,3,12674.0,340.293131
191,1551,2004,Hurricane,1,1,0,1,97,12677,12674,12739,65,3,12674.0,33.483236260000005
192,1551,2004,Hurricane,1,1,0,1,83,12677,12674,12739,65,3,12674.0,672.3206910999999
193,1551,2004,Hurricane,1,1,0,1,85,12677,12674,12739,65,3,12674.0,5.05219158
194,1551,2004,Hurricane,1,1,1,1,73,12677,12674,12739,65,3,12674.0,336.869689
195,1551,2004,Hurricane,1,1,0,1,35,12677,12674,12739,65,3,12674.0,63.639097899999996
196,1551,2004,Hurricane,1,1,0,1,81,12677,12674,12739,65,3,12674.0,47.07649889999999
197,1551,2004,Hurricane,1,1,0,1,95,12677,12674,12739,65,3,12674.0,139.74565909
198,1551,2004,Hurricane,1,1,0,1,127,12677,12674,12739,65,3,12674.0,106.68052620000002
199,1551,2004,Hurricane,1,1,1,1,17,12677,12674,12739,65,3,12674.0,69.27979056000001
200,1551,2004,Hurricane,1,1,1,1,5,12677,12674,12739,65,3,12674.0,445.60212469999993
201,1551,2004,Hurricane,1,1,0,1,69,12677,12674,12739,65,3,12674.0,189.45036249999998
202,1551,2004,Hurricane,1,1,0,1,55,12677,12674,12739,65,3,12674.0,27.50861547
203,1551,2004,Hurricane,1,1,0,1,31,12677,12674,12739,65,3,12674.0,190.0113604
204,1551,2004,Hurricane,1,1,0,1,19,12677,12674,12739,65,3,12674.0,240.3282861
205,1551,2004,Hurricane,0,0,1,1,29,12677,12674,12739,65,3,12674.0,294.02427
206,1551,2004,Hurricane,0,0,1,1,75,12677,12674,12739,65,3,12674.0,524.8758545
207,1551,2004,Hurricane,0,0,1,1,87,12677,12674,12739,65,3,12674.0,597.6875818999998
208,1551,2004,Hurricane,0,0,1,1,21,12677,12674,12739,65,3,12674.0,185.50680550000007
209,1551,2004,Hurricane,0,0,1,1,15,12677,12674,12739,65,3,12674.0,17.58465684
210,1551,2004,Hurricane,1,1,0,1,61,12677,12674,12739,65,3,12674.0,13.172976969999999
211,1551,2004,Hurricane,0,0,1,1,115,12677,12674,12739,65,3,12674.0,27.554527799999992
212,1551,2004,Hurricane,1,1,1,1,113,12677,12674,12739,65,3,12674.0,218.11108947
213,1551,2004,Hurricane,1,1,1,1,33,12677,12674,12739,65,3,12674.0,197.9291206
214,1551,2004,Hurricane,1,1,1,1,123,12677,12674,12739,65,3,12674.0,245.7465191
215,1551,2004,Hurricane,1,1,0,1,105,12677,12674,12739,65,3,12674.0,65.85619021
216,1551,2004,Hurricane,1,1,0,1,111,12677,12674,12739,65,3,12674.0,23.037204725
