disasterNumber,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsCountyCode,placeCode,designatedArea,declaration_date,incident_begin,incident_end,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,87,99087,Monroe (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,35,99035,Flagler (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,81,99081,Manatee (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,11,99011,Broward (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,67,99067,Lafayette (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,125,99125,Union (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,111,99111,St. Lucie (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,59,99059,Holmes (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,113,99113,Santa Rosa (County),12643,12641,12660,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,77,99077,Liberty (County),12665,12664,12699,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,97,99097,Osceola (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,101,99101,Pasco (County),12643,12641,12660,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,133,99133,Washington (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,21,99021,Collier (County),12665,12664,12699,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,117,99117,Seminole (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,95,99095,Orange (County),12643,12641,12660,
