,Time,Lat,Lon,Precip
1621100,18260.0,20.05,-89.95,0.0
1621101,18260.0,20.149998,-89.95,0.0
1621102,18260.0,20.250004,-89.95,0.0
1621103,18260.0,20.350002,-89.95,0.0
1621104,18260.0,20.45,-89.95,1.3342991
1621105,18260.0,20.55,-89.95,1.0777032
1621106,18260.0,20.649998,-89.95,0.009535962
1621107,18260.0,20.750004,-89.95,0.25659597
1621108,18260.0,20.850002,-89.95,0.23752406
1621109,18260.0,20.95,-89.95,0.0
1621110,18260.0,21.05,-89.95,0.0
1621111,18260.0,21.149998,-89.95,0.62744814
1621112,18260.0,21.250004,-89.95,0.27908686
1621113,18260.0,21.350002,-89.95,0.0
1621114,18260.0,21.45,-89.95,0.0
1621115,18260.0,21.55,-89.95,0.0
1621116,18260.0,21.649998,-89.95,0.0
1621117,18260.0,21.750004,-89.95,0.0
1621118,18260.0,21.850002,-89.95,0.0
1621119,18260.0,21.95,-89.95,0.016157005
1621120,18260.0,22.05,-89.95,1.2440894
1621121,18260.0,22.149998,-89.95,1.2440894
1621122,18260.0,22.250004,-89.95,0.7270652
1621123,18260.0,22.350002,-89.95,0.0
1621124,18260.0,22.45,-89.95,0.0
1621125,18260.0,22.55,-89.95,0.0
1621126,18260.0,22.649998,-89.95,0.0
1621127,18260.0,22.750004,-89.95,0.0
1621128,18260.0,22.850002,-89.95,0.0
1621129,18260.0,22.95,-89.95,0.0
1621130,18260.0,23.05,-89.95,0.0
1621131,18260.0,23.149998,-89.95,0.0
1621132,18260.0,23.250004,-89.95,0.0
1621133,18260.0,23.350002,-89.95,0.02159809
1621134,18260.0,23.45,-89.95,0.18934467
1621135,18260.0,23.55,-89.95,0.40402818
1621136,18260.0,23.649998,-89.95,0.6726469
1621137,18260.0,23.750004,-89.95,0.65021956
1621138,18260.0,23.850002,-89.95,0.15928222
1621139,18260.0,23.95,-89.95,0.14899859
1621140,18260.0,24.05,-89.95,0.16955885
1621141,18260.0,24.149998,-89.95,0.11285626
1621142,18260.0,24.250004,-89.95,0.01438433
1621143,18260.0,24.350002,-89.95,0.0
1621144,18260.0,24.45,-89.95,0.0
1621145,18260.0,24.55,-89.95,0.0
1621146,18260.0,24.649998,-89.95,0.0
1621147,18260.0,24.750004,-89.95,0.0
1621148,18260.0,24.850002,-89.95,0.0
1621149,18260.0,24.95,-89.95,0.0
1621150,18260.0,25.05,-89.95,0.00023030443
1621151,18260.0,25.149998,-89.95,0.0
1621152,18260.0,25.250004,-89.95,0.0
1621153,18260.0,25.350002,-89.95,0.0
1621154,18260.0,25.45,-89.95,0.0
1621155,18260.0,25.55,-89.95,0.0025436527
1621156,18260.0,25.649998,-89.95,0.007225479
